Hello World
initializing gdt
initialized gdt
initializing idt
IDT Entry 158, address_low = 0x1CF0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 159, address_low = 0x1D00, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 160, address_low = 0x1D10, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 161, address_low = 0x1D20, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 162, address_low = 0x1D30, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 163, address_low = 0x1D40, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 164, address_low = 0x1D50, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 165, address_low = 0x1D60, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 166, address_low = 0x1D70, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 167, address_low = 0x1D80, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 168, address_low = 0x1D90, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 169, address_low = 0x1DA0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 170, address_low = 0x1DB0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 171, address_low = 0x1DC0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 172, address_low = 0x1DD0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 173, address_low = 0x1DE0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 174, address_low = 0x1DF0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 175, address_low = 0x1E00, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 176, address_low = 0x1E10, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 177, address_low = 0x1E20, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 178, address_low = 0x1E30, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 179, address_low = 0x1E40, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 180, address_low = 0x1E50, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 181, address_low = 0x1E60, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 182, address_low = 0x1E70, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 183, address_low = 0x1E80, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 184, address_low = 0x1E90, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 185, address_low = 0x1EA0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 186, address_low = 0x1EB0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 187, address_low = 0x1EC0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 188, address_low = 0x1ED0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 189, address_low = 0x1EE0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 190, address_low = 0x1EF0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 191, address_low = 0x1F00, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 192, address_low = 0x1F10, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 193, address_low = 0x1F20, address_mid = 0x8000, address_high = 0xFFFFFFFF.
